spec,conf0.0_tp,conf0.0_fp,conf0.0_pre,conf0.05_tp,conf0.05_fp,conf0.05_pre,conf0.11_tp,conf0.11_fp,conf0.11_pre,conf0.16_tp,conf0.16_fp,conf0.16_pre,conf0.21_tp,conf0.21_fp,conf0.21_pre,conf0.26_tp,conf0.26_fp,conf0.26_pre,conf0.32_tp,conf0.32_fp,conf0.32_pre,conf0.37_tp,conf0.37_fp,conf0.37_pre,conf0.42_tp,conf0.42_fp,conf0.42_pre,conf0.47_tp,conf0.47_fp,conf0.47_pre,conf0.53_tp,conf0.53_fp,conf0.53_pre,conf0.58_tp,conf0.58_fp,conf0.58_pre,conf0.63_tp,conf0.63_fp,conf0.63_pre,conf0.68_tp,conf0.68_fp,conf0.68_pre,conf0.74_tp,conf0.74_fp,conf0.74_pre,conf0.79_tp,conf0.79_fp,conf0.79_pre,conf0.84_tp,conf0.84_fp,conf0.84_pre,conf0.89_tp,conf0.89_fp,conf0.89_pre,conf0.95_tp,conf0.95_fp,conf0.95_pre,conf1.0_tp,conf1.0_fp,conf1.0_pre
BASA,,0.04624,0.0,,0.04624,0.0,,0.03468,0.0,,0.02023,0.0,,0.01445,0.0,,0.01156,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
BARG,0.71429,0.01475,0.5,0.71429,0.01475,0.5,0.71429,0.01475,0.5,0.57143,0.01475,0.44444,0.42857,0.01475,0.375,0.42857,0.0118,0.42857,0.42857,0.0118,0.42857,0.42857,0.00885,0.5,0.42857,0.0059,0.6,0.42857,0.00295,0.75,0.14286,0.00295,0.5,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.14286,0.0,1.0,0.0,0.0,
SEPL,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
LBDO,0.08889,0.01329,0.5,0.08889,0.01329,0.5,0.08889,0.01329,0.5,0.06667,0.00664,0.6,0.04444,0.00332,0.66667,0.04444,0.0,1.0,0.04444,0.0,1.0,0.02222,0.0,1.0,0.02222,0.0,1.0,0.02222,0.0,1.0,0.02222,0.0,1.0,0.02222,0.0,1.0,0.02222,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
NOPI,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
phalarope,0.08,0.00623,0.5,0.08,0.00623,0.5,0.08,0.00623,0.5,0.08,0.00623,0.5,0.08,0.00623,0.5,0.08,0.00623,0.5,0.08,0.00623,0.5,0.08,0.00312,0.66667,0.08,0.00312,0.66667,0.08,0.00312,0.66667,0.08,0.00312,0.66667,0.08,0.00312,0.66667,0.08,0.00312,0.66667,0.04,0.00312,0.5,0.04,0.00312,0.5,0.04,0.00312,0.5,0.04,0.00312,0.5,0.04,0.0,1.0,0.04,0.0,1.0,0.0,0.0,
PESA,0.09259,0.0,1.0,0.09259,0.0,1.0,0.09259,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.03704,0.0,1.0,0.01852,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
BLUE,,0.01734,0.0,,0.01734,0.0,,0.01445,0.0,,0.00578,0.0,,0.00578,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
ROPT,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00867,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00578,0.0,,0.00289,0.0,,0.00289,0.0,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,
SAVS,0.41667,0.0,1.0,0.41667,0.0,1.0,0.33333,0.0,1.0,0.33333,0.0,1.0,0.33333,0.0,1.0,0.33333,0.0,1.0,0.25,0.0,1.0,0.25,0.0,1.0,0.16667,0.0,1.0,0.16667,0.0,1.0,0.08333,0.0,1.0,0.08333,0.0,1.0,0.08333,0.0,1.0,0.08333,0.0,1.0,0.08333,0.0,1.0,0.08333,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
GLGU,,0.00867,0.0,,0.00867,0.0,,0.00578,0.0,,0.00289,0.0,,0.00289,0.0,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,
redpoll,0.27273,0.00299,0.75,0.27273,0.00299,0.75,0.27273,0.00299,0.75,0.18182,0.00299,0.66667,0.09091,0.00299,0.5,0.09091,0.0,1.0,0.09091,0.0,1.0,0.09091,0.0,1.0,0.09091,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
