filename,start,stop,manSp,netSp,conf
AR11_20220610_043000.wav,0,300,"['LALO', 'nan'] , ['PESA', 'nan'] , ['PESA', 'LALO', 'nan']",nan,nan
AR70_20230714_100000.wav,0,300,"['na', 'nan']",nan,nan
AR93_20230719_233000.wav,0,300,"['PALO', 'nan'] , ['BBPL', 'nan']",nan,nan
AR102_20230617_210000.wav,0,300,"['nan', 'GWFG'] , ['BBPL', 'nan']",GWFG,0.8036
AR81_20230612_113000.wav,0,300,"['WIPT', 'nan'] , ['LBDO', 'nan'] , ['WIPT', 'LBDO', 'nan'] , ['LTDU', 'LBDO', 'nan'] , ['nan', 'GWFG']",nan,nan
AR02_20220617_150000.wav,0,300,"['SAVS', 'nan']",SAVS,0.5131
AR65_20220610_083000.wav,0,300,"['WIPT', 'nan'] , ['LALO', 'nan'] , ['WIPT', 'LALO', 'nan']",nan,nan
AR87_20230614_010000.wav,0,300,"['DUNL', 'nan'] , ['nan', 'DUNL', 'GWFG'] , ['nan', 'LALO', 'DUNL', 'GWFG'] , ['LALO', 'DUNL', 'nan'] , ['nan', 'LALO', 'DUNL', 'AMGP'] , ['nan', 'DUNL', 'AMGP'] , ['LBDO', 'DUNL', 'nan'] , ['PALO', 'LALO', 'DUNL', 'nan'] , ['PALO', 'DUNL', 'nan'] , ['LALO', 'nan'] , ['PALO', 'LALO', 'nan'] , ['PALO', 'nan']",nan,nan
AL64_20230612_123000.wav,0,300,"['LALO', 'nan'] , ['PESA', 'nan'] , ['nan', 'GWFG'] , ['LALO', 'nan', 'GWFG'] , ['PESA', 'LALO', 'nan', 'GWFG'] , ['PESA', 'nan', 'GWFG'] , ['DUNL', 'nan']",nan,nan
AR70_20230628_153000.wav,0,300,"['na', 'nan']",nan,nan
AL73_20230613_180000.wav,0,300,"['DUNL', 'nan'] , ['LALO', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['nan', 'GWFG'] , ['LALO', 'nan', 'GWFG']",nan,nan
AL64_20230612_120000.wav,0,300,"['LALO', 'nan'] , ['PALO', 'LALO', 'nan'] , ['PALO', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['PESA', 'nan'] , ['PESA', 'LALO', 'nan']",nan,nan
20220617_233000.wav,0,300,"['LALO', 'nan'] , ['nan', 'AMGP'] , ['motor', 'LALO', 'nan'] , ['motor', 'nan'] , ['motor', 'DUNL', 'nan'] , ['motor', 'nan', 'AMGP'] , ['WIPT', 'motor', 'nan'] , ['WIPT', 'motor', 'LALO', 'nan']",nan,nan
AR91_20230614_183000.wav,0,300,"['LBDO', 'nan']",WESA,0.5563
B78_20230614_093000.wav,0,300,"['LBDO', 'nan'] , ['WIPT', 'nan']",nan,nan
AR02_20220617_213000.wav,0,300,"['redpoll  ', 'nan']",nan,nan
AR70_20230717_180000.wav,0,300,"['na', 'nan']",nan,nan
AL33_20230711_123000.wav,0,300,"['unknown', 'nan'] , ['gull', 'nan'] , ['dunl', 'nan'] , ['dunl', 'unknown', 'nan'] , ['bbpl', 'nan']",nan,nan
AR87_20230614_073000.wav,0,300,"['DUNL', 'nan'] , ['PESA', 'nan'] , ['nan', 'GWFG']",nan,nan
EC13_20230611_033000.wav,0,300,"['LALO', 'nan'] , ['WIPT', 'nan']",nan,nan
AR70_20230714_110000.wav,0,300,"['na', 'nan']",nan,nan
AR87_20230614_120000.wav,0,300,"['DUNL', 'nan'] , ['LALO', 'DUNL', 'nan'] , ['LALO', 'nan'] , ['PESA', 'nan'] , ['PESA', 'LALO', 'nan'] , ['nan', 'GWFG'] , ['SESA', 'nan', 'GWFG'] , ['unkMF', 'nan']",phalarope,0.8607
AR91_20230614_153000.wav,0,300,"['LALO', 'nan'] , ['nan', 'GWFG'] , ['LBDO', 'nan']",nan,nan
AL33_20230620_160000.wav,0,300,"['lalo', 'nan'] , ['WCSP', 'nan'] , ['lalo', 'WCSP', 'nan'] , ['bbpl', 'nan'] , ['gwfg', 'nan']",nan,nan
AL35_20230603_063000.wav,0,300,"['gwfg', 'nan'] , ['wipt', 'nan'] , ['lalo', 'nan'] , ['lalo', 'gwfg', 'nan'] , ['phalarope', 'nan'] , ['savs', 'nan']",GWFG,0.4447
EC21_20230604_083000.wav,0,300,"['BBPL', 'nan'] , ['BBPL', 'WIPT', 'nan'] , ['WIPT', 'nan'] , ['gull', 'nan']",nan,nan
AL33_20230627_090000.wav,0,300,"['palo', 'nan'] , ['gwfg', 'palo', 'nan'] , ['gwfg', 'nan'] , ['unknown', 'nan'] , ['wipt', 'nan'] , ['sesa', 'nan']",nan,nan
AL35_20230608_210000.wav,0,300,"['lalo', 'nan'] , ['redpoll', 'nan'] , ['lalo', 'redpoll', 'nan']",nan,nan
AR93_20230704_143000.wav,0,300,"['na', 'nan']",nan,nan
AL33_20230611_230000.wav,0,300,"['lalo', 'nan']",nan,nan
AR58_20220613_140000.wav,0,300,"['CACK', 'nan'] , ['nan', 'AMGP'] , ['LALO', 'nan']",nan,nan
AR82_20220612_133000.wav,0,300,"['LALO', 'nan'] , ['PESA', 'nan']",nan,nan
AR70_20230720_090000.wav,0,300,"['na', 'nan']",nan,nan
AL33_20230707_163000.wav,0,300,"['unknown', 'nan'] , ['lalo', 'nan'] , ['palo', 'nan'] , ['RUTU', 'nan'] , ['pesa', 'nan'] , ['RUTU', 'palo', 'nan'] , ['gwfg', 'nan']",GWFG,0.3778
AR90_20220610_040000.wav,0,300,"['nan', 'ATSP'] , ['PALO', 'nan']",nan,nan
AR103_20220608_033000.wav,0,300,"['LALO', 'nan']",nan,nan
AL35_20230603_120000.wav,0,300,"['gull', 'nan'] , ['wipt', 'gull', 'nan'] , ['wipt', 'nan'] , ['gwfg', 'nan'] , ['lalo', 'gwfg', 'nan'] , ['lalo', 'nan'] , ['lalo', 'wipt', 'nan'] , ['lbdo', 'nan'] , ['wipt', 'lbdo', 'nan']",nan,nan
AL33_20230620_233000.wav,0,300,"['WCSP', 'nan'] , ['bbpl', 'nan'] , ['WCSP', 'bbpl', 'nan']",nan,nan
AR93_20230709_190000.wav,0,300,"['LTJA', 'nan']",nan,nan
20220617_140000.wav,0,300,"['nan', 'GWFG'] , ['LALO', 'nan', 'GWFG'] , ['POJA  ', 'LALO', 'nan', 'GWFG'] , ['POJA  ', 'nan', 'GWFG'] , ['phalarope', 'nan'] , ['motor', 'phalarope', 'nan'] , ['phalarope', 'unkMF', 'nan'] , ['PESA', 'phalarope', 'nan'] , ['phalarope', 'LALO', 'nan'] , ['LALO', 'nan']","LESA , BLUE , PESA","0.2598,0.2985,0.5932"
AR87_20230615_113000.wav,0,300,"['nan', 'GWFG'] , ['PESA', 'nan'] , ['PESA', 'LBDO', 'nan'] , ['DUNL', 'nan']",nan,nan
AR70_20230803_150000.wav,0,300,"['na', 'nan']",nan,nan
AL33_20230607_120000.wav,0,300,"['unknown', 'nan'] , ['wipt', 'nan'] , ['bbpl', 'nan']",nan,nan
AL33_20230616_020000.wav,0,300,"['BBPL', 'nan'] , ['WIPT', 'nan']",nan,nan
AR85_20220612_053000.wav,0,300,"['SAVS', 'nan']",SAVS,0.2647
B78_20230614_083000.wav,0,300,"['LBDO', 'nan']",nan,nan
EC41_20230619_140000.wav,0,300,"['LALO', 'nan'] , ['CACK', 'nan']",nan,nan
AR93_20230710_023000.wav,0,300,"['PALO', 'nan']",nan,nan
AL33_20230620_010000.wav,0,300,"['lalo', 'nan'] , ['redpoll', 'nan'] , ['lalo', 'redpoll', 'nan']",nan,nan
AR65_20220610_093000.wav,0,300,"['WIPT', 'nan'] , ['Ptarmigan in flight', 'nan']",nan,nan
B78_20230614_090000.wav,0,300,"['Waterfowl', 'nan'] , ['LBDO', 'nan'] , ['WIPT', 'nan'] , ['nan', 'GWFG']",nan,nan
AR62_20230616_113000.wav,0,300,"['DUNL', 'nan'] , ['nan', 'GWFG']",nan,nan
AR93_20230618_183000.wav,0,300,"['LTJA', 'nan']",nan,nan
AR97_20230615_110000.wav,0,300,"['BBPL', 'nan'] , ['nan', 'GWFG'] , ['BBPL', 'nan', 'GWFG'] , ['BBPL', 'PALO', 'nan'] , ['PALO', 'nan'] , ['nan', 'AMGP']",nan,nan
AR97_20230616_143000.wav,0,300,"['LALO', 'nan']",nan,nan
B78_20230614_080000.wav,0,300,"['nan', 'GWFG'] , ['LALO', 'nan', 'GWFG'] , ['LALO', 'nan'] , ['LBDO', 'nan'] , ['LBDO', 'LALO', 'nan']",nan,nan
B81_20230612_113000.wav,0,300,"['PALO', 'nan'] , ['PALO', 'YBLO', 'nan'] , ['WIPT', 'nan'] , ['phalarope', 'nan'] , ['unkLF', 'nan'] , ['GWFG', 'nan']",nan,nan
AL33_20230629_133000.wav,0,300,"['SEPL', 'nan'] , ['SEPL', 'bbpl', 'nan'] , ['bbpl', 'nan']",SEPL,0.6815
AR62_20230617_093000.wav,0,300,"['SESA', 'nan'] , ['LALO', 'nan'] , ['SESA', 'LALO', 'nan'] , ['DUNL', 'nan'] , ['SESA', 'DUNL', 'nan']",SESA,0.832
AL33_20230710_113000.wav,0,300,"['palo', 'nan'] , ['bbpl', 'nan'] , ['BARG', 'nan'] , ['unknown', 'nan']",nan,nan
B78_20230614_103000.wav,0,300,"['STSA', 'nan'] , ['PALO', 'STSA', 'nan'] , ['LBDO', 'nan']",BARG,0.4032
AL33_20230727_153000.wav,0,300,"['redpoll', 'nan'] , ['bbpl', 'nan'] , ['gwfg', 'nan']",nan,nan
AL33_20230806_150000.wav,0,300,"['unknown', 'nan'] , ['palo', 'nan'] , ['gwfg', 'nan']",nan,nan
B81_20230612_110000.wav,0,300,"['WIPT', 'nan'] , ['unkLF', 'nan']",nan,nan
AR49_20220616_170000.wav,0,300,"['LALO', 'nan'] , ['LTJA', 'nan']",nan,nan
AL35_20230603_100000.wav,0,300,"['wipt ', 'nan'] , ['wipt ', 'gwfg', 'nan'] , ['gwfg', 'nan'] , ['wipt', 'gwfg', 'nan'] , ['wipt', 'nan'] , ['unknown', 'nan'] , ['ltdu', 'nan'] , ['wipt', 'unknown', 'nan'] , ['ltdu', 'wipt', 'nan']",nan,nan
20220617_083000.wav,0,300,"['SESA', 'nan', 'GWFG'] , ['SESA', 'nan'] , ['SESA', 'nan', 'AMGP'] , ['SESA', 'DUNL', 'nan'] , ['DUNL', 'nan'] , ['PESA', 'SESA', 'nan', 'AMGP'] , ['PESA', 'SESA', 'nan'] , ['SESA', 'LALO', 'nan'] , ['nan', 'AMGP'] , ['LALO', 'nan', 'AMGP'] , ['LALO', 'nan']",nan,nan
B78_20230613_053000.wav,0,300,"['LALO', 'nan'] , ['unkLF', 'nan'] , ['LALO', 'unkLF', 'nan'] , ['LBDO', 'nan']","CACK , GWFG","0.891,0.6813"
AL35_20230610_073000.wav,0,300,"['gwfg', 'nan'] , ['wipt', 'nan']",nan,nan
20220616_100000.wav,0,300,"['PALO', 'nan'] , ['phalarope', 'nan'] , ['PALO', 'phalarope', 'nan']","LESA , BASA","0.2739,0.4302"
AR34_20220618_113000.wav,0,300,"['SAVS', 'nan']",nan,nan
AL33_20230617_100000.wav,0,300,"['palo', 'nan'] , ['wipt', 'nan'] , ['bbpl', 'nan'] , ['palo', 'bbpl', 'nan']",nan,nan
AR70_20230731_160000.wav,0,300,"['na', 'nan']",nan,nan
AR93_20230701_180000.wav,0,300,"['BBPL', 'nan']",nan,nan
AL33_20230726_180000.wav,0,300,"['gull', 'nan']",nan,nan
AR02_20220618_083000.wav,0,300,"['nan', 'AMGP'] , ['WIPT', 'nan', 'AMGP']",nan,nan
EC28_20230614_090000.wav,0,300,"['LALO', 'nan'] , ['nan', 'GWFG'] , ['LALO', 'nan', 'GWFG']",GWFG,0.8088
AR70_20230729_170000.wav,0,300,"['na', 'nan']",nan,nan
AR93_20230702_203000.wav,0,300,"['POJA  ', 'nan']",nan,nan
AR97_20230616_130000.wav,0,300,"['BBPL', 'nan']",nan,nan
EC21_20230604_090000.wav,0,300,"['STSA', 'nan'] , ['BBPL', 'nan'] , ['BBPL', 'WHIM', 'nan'] , ['BBPL', 'WHIM', 'nan', 'GWFG'] , ['WHIM', 'nan', 'GWFG'] , ['nan', 'GWFG']",nan,nan
