spec,conf0.0_tp,conf0.0_fp,conf0.0_pre,conf0.05_tp,conf0.05_fp,conf0.05_pre,conf0.11_tp,conf0.11_fp,conf0.11_pre,conf0.16_tp,conf0.16_fp,conf0.16_pre,conf0.21_tp,conf0.21_fp,conf0.21_pre,conf0.26_tp,conf0.26_fp,conf0.26_pre,conf0.32_tp,conf0.32_fp,conf0.32_pre,conf0.37_tp,conf0.37_fp,conf0.37_pre,conf0.42_tp,conf0.42_fp,conf0.42_pre,conf0.47_tp,conf0.47_fp,conf0.47_pre,conf0.53_tp,conf0.53_fp,conf0.53_pre,conf0.58_tp,conf0.58_fp,conf0.58_pre,conf0.63_tp,conf0.63_fp,conf0.63_pre,conf0.68_tp,conf0.68_fp,conf0.68_pre,conf0.74_tp,conf0.74_fp,conf0.74_pre,conf0.79_tp,conf0.79_fp,conf0.79_pre,conf0.84_tp,conf0.84_fp,conf0.84_pre,conf0.89_tp,conf0.89_fp,conf0.89_pre,conf0.95_tp,conf0.95_fp,conf0.95_pre,conf1.0_tp,conf1.0_fp,conf1.0_pre
RTLO,1.0,0.80909,0.05654,1.0,0.80909,0.05654,1.0,0.78485,0.05818,1.0,0.68182,0.06639,1.0,0.59394,0.07547,1.0,0.49091,0.08989,0.9375,0.39697,0.10274,0.9375,0.36364,0.11111,0.9375,0.31515,0.12605,0.9375,0.27879,0.14019,0.75,0.25758,0.12371,0.6875,0.23333,0.125,0.6875,0.22121,0.13095,0.625,0.21818,0.12195,0.5625,0.20303,0.11842,0.5625,0.19394,0.12329,0.5625,0.1697,0.13846,0.5625,0.15152,0.15254,0.5625,0.1303,0.17308,0.375,0.05455,0.25
WCSP,1.0,0.36657,0.03846,1.0,0.36657,0.03846,1.0,0.32551,0.0431,1.0,0.23167,0.05952,1.0,0.19355,0.07042,1.0,0.16422,0.08197,1.0,0.14076,0.09434,1.0,0.12317,0.10638,1.0,0.11144,0.11628,1.0,0.10264,0.125,1.0,0.08504,0.14706,1.0,0.08211,0.15152,1.0,0.07918,0.15625,1.0,0.07038,0.17241,1.0,0.04985,0.22727,1.0,0.04692,0.2381,1.0,0.04106,0.26316,1.0,0.02639,0.35714,1.0,0.01466,0.5,0.8,0.0,1.0
GWFG,0.92857,0.25641,0.63415,0.92857,0.25641,0.63415,0.92857,0.23077,0.65823,0.875,0.17521,0.70504,0.86607,0.1453,0.74046,0.82143,0.11966,0.76667,0.79464,0.08974,0.80909,0.75893,0.07692,0.82524,0.74107,0.05128,0.87368,0.69643,0.04274,0.88636,0.65179,0.02991,0.9125,0.64286,0.02991,0.91139,0.63393,0.02991,0.91026,0.59821,0.02564,0.91781,0.55357,0.02564,0.91176,0.51786,0.02137,0.92063,0.45536,0.01282,0.94444,0.375,0.01282,0.93333,0.32143,0.00855,0.94737,0.10714,0.00855,0.85714
ARTE,0.83333,0.15882,0.08475,0.83333,0.15882,0.08475,0.83333,0.15,0.08929,0.83333,0.1,0.12821,0.66667,0.06471,0.15385,0.66667,0.04706,0.2,0.5,0.03824,0.1875,0.5,0.03235,0.21429,0.33333,0.02941,0.16667,0.33333,0.02353,0.2,0.33333,0.02353,0.2,0.16667,0.02353,0.11111,0.16667,0.02353,0.11111,0.16667,0.02059,0.125,0.0,0.02059,0.0,0.0,0.02059,0.0,0.0,0.01176,0.0,0.0,0.01176,0.0,0.0,0.01176,0.0,0.0,0.0,
BBPL,1.0,0.88235,0.18269,1.0,0.88235,0.18269,1.0,0.82699,0.19257,0.98246,0.64014,0.23237,0.98246,0.46367,0.29474,0.98246,0.35986,0.35,0.96491,0.2872,0.39855,0.96491,0.23875,0.44355,0.94737,0.21107,0.46957,0.92982,0.18685,0.49533,0.91228,0.16263,0.52525,0.87719,0.14533,0.54348,0.84211,0.12111,0.57831,0.84211,0.11073,0.6,0.82456,0.09343,0.63514,0.78947,0.07958,0.66176,0.75439,0.06228,0.70492,0.70175,0.0519,0.72727,0.64912,0.03806,0.77083,0.15789,0.00692,0.81818
LTDU,1.0,0.15339,0.11864,1.0,0.15339,0.11864,1.0,0.13864,0.12963,0.71429,0.0885,0.14286,0.71429,0.06195,0.19231,0.71429,0.05605,0.20833,0.71429,0.03835,0.27778,0.71429,0.0354,0.29412,0.57143,0.0295,0.28571,0.57143,0.0236,0.33333,0.57143,0.01475,0.44444,0.57143,0.00885,0.57143,0.57143,0.0059,0.66667,0.57143,0.0059,0.66667,0.57143,0.0059,0.66667,0.42857,0.0059,0.6,0.42857,0.0059,0.6,0.42857,0.0,1.0,0.42857,0.0,1.0,0.14286,0.0,1.0
LALO,0.95238,0.6573,0.57762,0.95238,0.6573,0.57762,0.94643,0.60674,0.59551,0.92857,0.43258,0.66953,0.8869,0.26404,0.7602,0.8631,0.14045,0.85294,0.81548,0.09551,0.88961,0.78571,0.06742,0.91667,0.76786,0.05618,0.92806,0.7619,0.05618,0.92754,0.75,0.04494,0.9403,0.73214,0.03933,0.94615,0.71429,0.03933,0.94488,0.70238,0.02809,0.95935,0.67857,0.02247,0.9661,0.66667,0.01685,0.97391,0.64286,0.01124,0.98182,0.63095,0.00562,0.99065,0.57143,0.00562,0.98969,0.24405,0.0,1.0
ATSP,1.0,0.27246,0.01053,1.0,0.27246,0.01053,1.0,0.24348,0.01176,1.0,0.2058,0.01389,1.0,0.15942,0.01786,1.0,0.13623,0.02083,1.0,0.11884,0.02381,1.0,0.10145,0.02778,0.0,0.08696,0.0,0.0,0.07246,0.0,0.0,0.05217,0.0,0.0,0.03478,0.0,0.0,0.02319,0.0,0.0,0.02319,0.0,0.0,0.01159,0.0,0.0,0.0087,0.0,0.0,0.0029,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
gull,0.78571,0.03614,0.47826,0.78571,0.03614,0.47826,0.78571,0.03614,0.47826,0.78571,0.03012,0.52381,0.78571,0.02108,0.61111,0.78571,0.01506,0.6875,0.78571,0.00602,0.84615,0.78571,0.00602,0.84615,0.78571,0.00602,0.84615,0.78571,0.00602,0.84615,0.78571,0.00301,0.91667,0.78571,0.00301,0.91667,0.78571,0.00301,0.91667,0.71429,0.00301,0.90909,0.71429,0.00301,0.90909,0.71429,0.00301,0.90909,0.71429,0.00301,0.90909,0.71429,0.00301,0.90909,0.57143,0.00301,0.88889,0.14286,0.0,1.0
STSA,0.83333,0.13174,0.18519,0.83333,0.13174,0.18519,0.66667,0.12275,0.16327,0.66667,0.09281,0.20513,0.66667,0.07485,0.24242,0.66667,0.06287,0.27586,0.66667,0.0509,0.32,0.66667,0.0509,0.32,0.66667,0.03892,0.38095,0.66667,0.03593,0.4,0.66667,0.02695,0.47059,0.66667,0.02695,0.47059,0.66667,0.02695,0.47059,0.66667,0.02395,0.5,0.66667,0.02096,0.53333,0.66667,0.02096,0.53333,0.66667,0.02096,0.53333,0.66667,0.02096,0.53333,0.66667,0.01497,0.61538,0.16667,0.00299,0.66667
POJA,0.5,0.07558,0.03704,0.5,0.07558,0.03704,0.5,0.06395,0.04348,0.5,0.0436,0.0625,0.5,0.02326,0.11111,0.5,0.02035,0.125,0.5,0.01453,0.16667,0.5,0.01453,0.16667,0.5,0.01453,0.16667,0.5,0.01453,0.16667,0.5,0.01453,0.16667,0.5,0.01163,0.2,0.5,0.00872,0.25,0.0,0.00581,0.0,0.0,0.00581,0.0,0.0,0.00581,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
